product_id,product_name,category,supplier,cost_price,sell_price,stock_quantity,reorder_level,last_restock_date
P001,WirelessMouse,Electronics,SupplierA,45.00,89.00,150,50,2024-01-01
P002,MechanicalKeyboard,Electronics,SupplierB,180.00,299.00,80,30,2024-01-02
P003,USBHub,Electronics,SupplierA,25.00,59.00,200,80,2024-01-01
P004,LaptopStand,Office,SupplierC,65.00,129.00,100,40,2024-01-03
P005,DeskOrganizer,Office,SupplierC,20.00,45.00,180,60,2024-01-02
P006,BluetoothEarphone,Electronics,SupplierB,100.00,199.00,120,50,2024-01-04
P007,MousePad,Office,SupplierD,8.00,25.00,300,100,2024-01-01
P008,Monitor,Electronics,SupplierA,550.00,899.00,40,15,2024-01-05
P009,KeyboardCover,Office,SupplierD,5.00,19.00,250,80,2024-01-03
P010,DataCable,Electronics,SupplierA,10.00,29.00,400,150,2024-01-02
P011,Notebook,Office,SupplierC,15.00,35.00,500,200,2024-01-01
P012,CleaningKit,Office,SupplierD,30.00,69.00,150,50,2024-01-04
P013,WirelessCharger,Electronics,SupplierB,35.00,79.00,100,40,2024-01-05
P014,PhoneStand,Office,SupplierC,15.00,39.00,200,80,2024-01-03
P015,Webcam,Electronics,SupplierA,80.00,159.00,90,35,2024-01-06
P016,HeadphoneStand,Office,SupplierC,20.00,49.00,160,60,2024-01-04
P017,ScreenLight,Electronics,SupplierB,100.00,199.00,70,25,2024-01-07
P018,DeskMat,Office,SupplierD,40.00,89.00,120,45,2024-01-05
P019,LaptopBag,Office,SupplierC,60.00,129.00,100,40,2024-01-06
P020,DockingStation,Electronics,SupplierA,130.00,259.00,60,20,2024-01-08
P021,Speaker,Electronics,SupplierB,220.00,399.00,50,20,2024-01-07
P022,Microphone,Electronics,SupplierA,150.00,299.00,45,18,2024-01-09
P023,DeskLamp,Office,SupplierC,90.00,179.00,80,30,2024-01-08
P024,SmartPlug,Electronics,SupplierB,22.00,49.00,200,80,2024-01-06
P025,MiniProjector,Electronics,SupplierA,800.00,1299.00,25,10,2024-01-10
P026,ExternalSSD,Electronics,SupplierB,280.00,459.00,70,25,2024-01-09
P027,WiFiAdapter,Electronics,SupplierA,35.00,79.00,150,60,2024-01-07
P028,BluetoothAdapter,Electronics,SupplierB,15.00,39.00,180,70,2024-01-08
P029,SmartWatch,Electronics,SupplierA,500.00,899.00,35,15,2024-01-10
